ID,Country,Use,Typology,From (year),To (year),Energy class,Construction type,Gross floor area (m2),Net floor (heated) area (m2),Net cooled area (m2),Volume (m3),Number of storeys,Number of dwellings or units,Average number of habitants (per dwelling),Number of buildings in stock (31.12.2022),Number of refurbished buildings (light),Number of refurbished buildings (medium),Number of refurbished buildings (deep),"Number of protected buildings (""Denkmalschutz"")",Share of occupied dwellings or units,Share of vacant dwellings or units,Share of secondary dwellings or units,Space heating demand Existing state (kWh/m2a),Space heating demand Light refurbishment (kWh/m2a),Space heating demand Medium refurbishment (kWh/m2a),Space heating demand Deep refurbishment (kWh/m2a),Space cooling demand (kWh/m2a),Energy demand for domestic hot water (kWh/m2GFAa),Final energy consumption space heating - Existing state (kWh/m2a),Final energy consumption space heating - Light refurbishment (kWh/m2a),Final energy consumption space heating - Medium refurbishment (kWh/m2a),Final energy consumption space heating - Deep refurbishment (kWh/m2a),Final energy consumption space cooling (kWh/m2Aa),Final energy consumption domestic hot water (kWh/m2NFAa),Electricity demand  (excl. heating) - B6.1 (kWh/m2NFAa),Electricity demand - B6.2 & B6.3 (kWh/m2NFAa),Energy demand - B8 (kWh/building),Water use per building per year (m3),Element type,Area (m2),ID component (as-built),U-value default (W/m2K),ID component (light refurbishment),U-value light (W/m2K),ID component (medium refurbishment),U-value medium (W/m2K),ID component (deep refurbishment),U-value deep (W/m2K),Energy carriers (current),ID component (current),Share (current),Comment,Energy carriers (exchange),ID component (exchange),Share (exchange)
AT-SFH-1850-1918-11,AT,Residential,Single-family house (SFH),1850,1918,Standard,Masonry,199.3,159.44,3.520757098,558.4,2,1,3,171883,21657,12032,2063,4184,0.874831763,0.121130552,0.004037685,173,164.35,87.5,64.8,27.18,19,231,220,117,87,4.62,28,3.4,30.6,10765.60299,127.2,Foundation,99.65,Efo_18_a,1.25,,,,,,,"gas central heating, standard boiler",GAS_01_r,0.1,Adapted to fit NEA,district heating,DIH_01_r,0.038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,89.44306256,EAm_19_a,1.18,,,,,,,wood central heating,PEL_01_r,0.65,Adapted to fit NEA,pellets central heating,PEL_01_r,0.462
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,99.65,KDo_18_a,0.99,,,REN_02_a,0.19,REN_02_a,0.19,"oil central heating, standard boiler",OIL_01_r,0.15,Adapted to fit NEA,"pellets central heating, with solar thermal",PEL_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,133.86,AWm_20_a,1.1,,,REN_01_a,0.27,REN_01_a,0.11,heat pump,HEP_01_r,0.1,Adapted to fit NEA,"electric direct heating, with solar thermal",ELE_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,133.86,AWm_21_a,1.54,,,REN_01_a,0.27,REN_01_a,0.11,,,,,heat pump,HEP_01_r,0.442
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",52.31625,IWm_22_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",87.19375,IWm_19_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,99.65,GDm_18_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attic floor,99.65,GDm_20_a,0.59,REN_03_a,0.21,REN_03_a,0.21,REN_03_a,0.11,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,140.9263815,DAI_18_a,0.985915493,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,19.15,Win_18_k,2.2,,,Win_01_p,1.4,Win_02_p,1.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-8,Doo_01_r,,,,Doo_01_r,1-0,Doo_01_r,1-0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,2-3-1-2-1-8-11-10-50-39-50-39,SAN_01_r,,,,,,,,,,,,,,
