ID,Name (EN),Name (DE),Activity,Type,Orientation,Product designation (EN),Product ID,"Thickness for layered (cm), unit for non-layered",Percentage,Source,Replaceable
Efo_01_a,"Slab foundation, insulated upper side, wet screed","Plattenfundament, oberseitig gedämmt, Nassestrich",New,Layered,Horizontal down,Solid wood parquet,HO_402,1,1,IBO (2018a),TRUE
,,,,,,Cement screed (2000 kg/m3),MI_128,5,1,,TRUE
,,,,,,Polyethylene foam,KU_214,1,1,,TRUE
,,,,,,Polystyrene XPS (32 kg/m3),KU_211,24,1,,TRUE
,,,,,,Bitumen aluminum layer,KU_105,0.4,1,,TRUE
,,,,,,"Normal concrete, average cement mix",MI_101,15,0.99,,FALSE
,,,,,,Reinforcement steel,ME_202,15,0.01,,FALSE
,,,,,,Building paper,NA_101,0.03,1,,FALSE
,,,,,,"Fillings from sand, gravel, chippings",MI_503,15,1,,FALSE
,,,,,,Fleece (PP),KU_114,0.02,1,,FALSE
Efo_01_b,"Slab foundation, insulated upper side, wet screed","Plattenfundament, oberseitig gedämmt, Nassestrich",New,Layered,Horizontal down,Solid wood parquet,HO_402,1,1,IBO (2018a),TRUE
,,,,,,Cement screed (2000 kg/m3),MI_128,5,1,,TRUE
,,,,,,Wood fiber insulation (180 kg/m3),HO_303,2,1,,TRUE
,,,,,,Perlite insulation boards (100 kg/m3),MI_621,28,1,,TRUE
,,,,,,Bitumen aluminum layer,KU_105,0.4,1,,TRUE
,,,,,,"Normal concrete, average cement mix",MI_101,15,0.99,,FALSE
,,,,,,Reinforcement steel,ME_202,15,0.01,,FALSE
,,,,,,Building paper,NA_101,0.03,1,,FALSE
,,,,,,"Fillings from sand, gravel, chippings",MI_503,15,1,,FALSE
,,,,,,Fleece (PP),KU_114,0.02,1,,FALSE
Efo_02_a,"Slab foundation, insulated upper side, wet screed (wet rooms)","Plattenfundament, oberseitig gedämmt, Nassestrich (Nassräume)",New,Layered,Horizontal down,Ceramic floor tiles,MI_401,1.6,0.5,IBO (2018a),TRUE
,,,,,,Adhesive mortar,MI_203,1.6,0.5,,TRUE
,,,,,,Cement screed (2000 kg/m3),MI_128,6,1,,TRUE
,,,,,,Polyethylene foam,KU_214,1,1,,TRUE
,,,,,,Expanded polystyrene EPS (30 kg/m3),KU_207,22,1,,TRUE
,,,,,,Bitumen aluminum layer,KU_105,0.4,1,,TRUE
,,,,,,"Normal concrete, average cement mix",MI_101,25,0.99,,FALSE
,,,,,,Reinforcement steel,ME_202,25,0.01,,FALSE
,,,,,,Building paper,NA_101,0.03,1,,FALSE
,,,,,,"Fillings from sand, gravel, chippings",MI_503,15,1,,FALSE
,,,,,,Fleece (PP),KU_114,0.02,1,,FALSE
Efo_02_b,"Slab foundation, insulated upper side, wet screed (wet rooms)","Plattenfundament, oberseitig gedämmt, Nassestrich (Nassräume)",New,Layered,Horizontal down,Ceramic floor tiles,MI_401,1.6,0.5,IBO (2018a),TRUE
,,,,,,Adhesive mortar,MI_203,1.6,0.5,,TRUE
,,,,,,Cement screed (2000 kg/m3),MI_128,6,1,,TRUE
,,,,,,Polyethylene foam,KU_214,1,1,,TRUE
,,,,,,Wood fiber insulation (180 kg/m3),HO_303,0.8,1,,TRUE
,,,,,,Perlite insulation boards (100 kg/m3),MI_621,29,1,,TRUE
,,,,,,Bitumen aluminum layer,KU_105,0.4,1,,TRUE
,,,,,,"Normal concrete, average cement mix",MI_101,25,0.99,,FALSE
,,,,,,Reinforcement steel,ME_202,25,0.01,,FALSE
,,,,,,Building paper,NA_101,0.03,1,,FALSE
