ID,Category (EN),Category (DE),Subcategory (EN),Subcategory (DE),Designation (EN),Designation (DE),Raw density,Unit,Heat conductivity (W/mK),Water vapor diffusion,Spec. heat capacity (kJ/kgK),U-value relevance,Source,Brightway key,Unit ecoinvent,Density ecoinvent (kg/m3),Adjustment factor,RSL,Source RSL,A4 Category,Waste category
HO_101,Wood and derived timber products,Holz und Holzwerkstoffe,Wood beams,Holzbalken,"Sawn timber (unspecified), kiln-dried",Schnittholz (unspezifiziert),500,kg/m3,0.13,50,2,TRUE,Assumption samed as other sawn timber,"('eicutoff391', 'aeeb7a71b3a2e14f8884b43670cc574e')",m3,,,60,Bau-EPD GmbH (2015),2.11.1.,wc_10
HO_102,Wood and derived timber products,Holz und Holzwerkstoffe,Wood beams,Holzbalken,"Sawn timber (spruce), air-dried","Schnittholz (Fichte), rauh, lufttrocken",540,kg/m3,0.13,50,2,TRUE,IBO (2018a),"('eicutoff391', 'cc70659cc7899ab0f8e5d9fb776a1f33')",m3,,,60,Bau-EPD GmbH (2015),2.11.1.,wc_10
HO_103,Wood and derived timber products,Holz und Holzwerkstoffe,Wood beams,Holzbalken,"Sawn timber (spruce), kiln-dried","Schnittholz (Fichte), rauh, technisch getrocknet",500,kg/m3,0.13,50,2,TRUE,IBO (2018a),"('eicutoff391', '28d14be02c9fa4d42eebbf434447506e')",m3,,,60,Bau-EPD GmbH (2015),2.11.1.,wc_10
HO_104,Wood and derived timber products,Holz und Holzwerkstoffe,Wood beams,Holzbalken,"Sawn timber (spruce), planed, kiln-dried","Schnittholz (Fichte), gehobelt, technisch getrocknet",500,kg/m3,0.13,50,2,TRUE,IBO (2018a),"('eicutoff391', 'aeeb7a71b3a2e14f8884b43670cc574e')",m3,,,60,Bau-EPD GmbH (2015),2.11.1.,wc_10
HO_105,Wood and derived timber products,Holz und Holzwerkstoffe,Wood beams,Holzbalken,"Sawn timber (larch), air-dried","Schnittholz (Lärche), rauh, lufttrocken",685,kg/m3,0.13,50,2,TRUE,IBO (2018a),"('eicutoff391', '6fc544024d128f77521b04a69edce78f')",m3,,,60,Bau-EPD GmbH (2015),2.11.1.,wc_10
HO_106,Wood and derived timber products,Holz und Holzwerkstoffe,Wood beams,Holzbalken,"Sawn timber (larch), kiln-dried","Schnittholz (Lärche), rauh, technisch getrocknet",630,kg/m3,0.13,50,2,TRUE,IBO (2018a),"('eicutoff391', 'e15ab4aa6ccd97b62c2e820ef3ed0fcc')",m3,,,60,Bau-EPD GmbH (2015),2.11.1.,wc_10
HO_107,Wood and derived timber products,Holz und Holzwerkstoffe,Wood beams,Holzbalken,"Sawn timber (larch), planed, kiln-dried","Schnittholz (Lärche), gehobelt, technisch getrocknet",630,kg/m3,0.13,50,2,TRUE,IBO (2018a),"('eicutoff391', '34dd0410ae388e0643d20c97045e63d6')",m3,,,60,Bau-EPD GmbH (2015),2.11.1.,wc_10
HO_108,Wood and derived timber products,Holz und Holzwerkstoffe,Wood beams,Holzbalken,"Construction timber (unspecified), kiln-dried","Nutzholz (unspezifiziert) - rauh, technisch getrocknet",475,kg/m3,0.12,50,2,TRUE,"Lambda from IBO (2018a), rest assumption samed as sawn timber","('eicutoff391', '394f00b020377b762a43757bf3a1feb1')",m3,,,100,Bau-EPD GmbH (2015),2.11.3.,wc_10
HO_109,Wood and derived timber products,Holz und Holzwerkstoffe,Wood beams,Holzbalken,"Construction timber (spruce), kiln-dried","Nutzholz (Fichte), rauh, technisch getrocknet",475,kg/m3,0.12,50,2,TRUE,"Lambda from IBO (2018a), rest assumption samed as sawn timber","('eicutoff391', '394f00b020377b762a43757bf3a1feb1')",m3,,,100,Bau-EPD GmbH (2015),2.11.3.,wc_10
HO_110,Wood and derived timber products,Holz und Holzwerkstoffe,Wood beams,Holzbalken,"Construction timber (spruce), planed, kiln-dried","Nutzholz (Fichte), gehobelt, technisch getrocknet",475,kg/m3,0.12,50,2,TRUE,"Lambda from IBO (2018a), rest assumption samed as sawn timber","('eicutoff391', '394f00b020377b762a43757bf3a1feb1')",m3,,,100,Bau-EPD GmbH (2015),2.11.3.,wc_10
